Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;N-Z;ame_ME;ame_ME_unc;ame_BE/A;ame_BE/A_unc;ame_BDE;ame_BDE_unc;ame_AM;ame_AM_unc;ame_BE;ame_S2p;ame_S1p;ame_S2n;ame_S1n;Difference_BE_DZ_AME;Surf;Asym;Coul;Pair;Z_parity;N_parity;ldm_BE;Z_distance;N_distance
0;1;311.628937;-303.557556;1;311.628937;;303.3527758;258.2161982;;1;8.07131806;0.00044;0.0;0.0;782.347;0.0004;1.0086649159;0.00047;0.0;0.0;6.801;;;-311.628937;1.0;1.0;0.0;1.0;1;-1;-25.025;2;1
1;0;311.628937;-304.339905;1;311.628937;304.98780839200003;;;300.21611808800003;-1;7.288971064;1.3e-05;0.0;0.0;0.0;0.0;1.007825031898;1.4e-05;0.0;;;;0.0;-311.628937;1.0;1.0;0.0;1.0;-1;1;-25.025;1;2
1;1;1.92253888;11.5153322;2;3.84507776;-307.78385924;-307.78385924;-4.43108344;-2.7960508479999997;0;13.135722895;1.5e-05;1.1122831000000002;0.0002;0.0;0.0;2.014101777844;1.5e-05;2.2245662000000004;9.025566200000002;2.2245662000000004;2.2245662000000004;2.2245662000000004;-1.6205115599999997;1.5874010519681994;0.0;0.0;0.7071067811865476;-1;-1;3.6290798745879265;1;1
1;2;5.24371147;7.70065498;3;15.73113441;11.886056649999999;-38.27306559;13.67248773;-295.89780259;1;14.949810900000001;8e-05;2.8272654000000004;0.0003;18.59202;6e-05;3.01604928132;8e-05;8.481796200000002;8.3917962;11.283796200000001;8.481796200000002;6.257230000000001;-7.249338209999998;2.080083823051904;0.3333333333333333;0.0;0.5773502691896257;-1;1;2.8684890621490204;1;0
1;3;3.92344832;15.8093748;4;15.69379328;-0.03734112999999972;5.14489625;10.023953422999998;11.848715519999999;2;24.621129;100.0;1.7204491;25.0;22196.2131;100.0;4.026431867;107.354;6.8817964;-18.0291421;-17.930397199999998;4.6572302;-1.5999998000000004;-8.811996879999999;2.5198420997897464;1.0;0.0;0.5;-1;-1;-4.741879379377334;1;1
1;4;2.6183362;26.4828644;5;13.091681;-2.60211228;8.59545335;0.46094881600000015;-2.6394534099999998;3;32.892447;89.443;1.3363592000000002;17.8885;21661.2131;91.6515;5.035311492;96.02;6.681796;-29.754928;-28.105013199999995;-1.8000002000000004;-0.2000003999999999;-6.409884999999999;2.924017738212866;1.8;0.0;0.4472135954999579;-1;1;-14.843825629407682;1;2
1;5;2.13183403;34.8549232;6;12.791004179999998;-0.3006768200000014;7.620093819999998;-1.0610813470000018;-2.9027891000000015;4;41.875724999999996;254.127;0.9616395;42.3545;24283.6294;254.1268;6.044955437;272.816;5.769837;-52.81386899999999;-50.091163;-1.1119594000000006;-0.9119590000000007;-7.021167179999998;3.3019272488946263;2.6666666666666665;0.0;0.408248290463863;-1;-1;-26.04553983178775;1;3
1;6;1.85942137;42.7013588;7;13.01594959;0.2249454100000019;11.4151795348;-0.1450671700000008;-0.0757314099999995;5;49.135;1004.0;0.94;143.0;23062.0;1004.0;7.052749;1078.0;6.58;-67.4129274;-66.4509275;-0.10179600000000028;0.8101630000000004;-6.43594959;3.6593057100229713;3.5714285714285716;0.0;0.37796447300922725;-1;1;-37.78055166941008;1;2
2;1;5.11084414;7.31690788;3;15.33253242;-38.08020638;11.48745466;-296.29640458;13.801074996;-1;14.931218880000001;6e-05;2.57268044;0.00015;-13736.0;2000.0;3.01602932197;6e-05;7.71804132;7.71804132;5.49347512;1.9482043200000008;1.1380413200000004;-7.6144910999999995;2.080083823051904;0.3333333333333333;1.3867225487012695;0.5773502691896257;1;-1;1.9019434457042355;0;1
2;2;6.54712152;4.53233337;4;26.18848608;10.85595366;10.457351670000001;-27.815713919999997;-27.22425272;0;2.42491587;0.00015;7.0739156;0.0002;-22898.274;212.132;4.00260325413;0.00016;28.2956624;31.0976624;19.8138662;21.7156624;20.57762108;2.1071763200000007;2.5198420997897464;0.0;1.2599210498948732;0.5;1;1;17.66495564884594;0;0
2;3;5.30607891;12.2618046;5;26.53039455;0.3419084699999999;10.836601270000001;15.981497520000001;11.19786213;1;11.231234;20.0;5.5121325;4.0;-447.6529;53.8516;5.012057224;21.47;27.5606625;2.7484688999999998;20.6788661;19.84262118;-0.7349999000000025;1.030267949999999;2.924017738212866;0.2;1.1696070952851465;0.4472135954999579;1;-1;21.596958225178575;0;1
2;4;4.92667341;17.3035374;6;29.560040460000003;3.029645910000003;16.468359460000002;25.06381281;3.3715543800000027;2;17.592095;0.053;4.878519900000001;0.0089;3505.2147;0.0532;6.018885889;0.057;29.271119400000003;-5.5156897999999925;22.5893234;0.9754570000000021;1.7104569000000047;-0.28892105999999984;3.3019272488946263;0.6666666666666666;1.100642416298209;0.408248290463863;1;1;19.7573124040524;0;2
